Node Index,Latitude,Longitude,Fraction Strike-Slip,Fraction Reverse,Fraction Normal
239,32.2,-114.10000000000001,0.5,0.0,0.5
240,32.2,-114.00000000000001,0.5,0.0,0.5
241,32.2,-113.9,0.5,0.0,0.5
242,32.2,-113.8,0.5,0.0,0.5
243,32.2,-113.7,0.5,0.0,0.5
244,32.3,-118.10000000000001,0.5,0.497454,0.002546
245,32.3,-118.00000000000001,0.5,0.498267,0.001733
246,32.3,-117.90000000000002,0.5,0.498865,0.001135
247,32.3,-117.8,0.5,0.499274,7.26E-4
248,32.3,-117.7,0.5,0.499506,4.94E-4
249,32.3,-117.6,0.5,0.499565,4.35E-4
250,32.3,-117.5,0.5,0.499403,5.97E-4
251,32.3,-117.4,0.5,0.498907,0.001093
252,32.3,-117.30000000000001,0.5,0.497833,0.002167
253,32.3,-117.20000000000002,0.5,0.495705,0.004295
254,32.3,-117.1,0.5,0.491743,0.008257
255,32.3,-117.0,0.5,0.484817,0.015183
256,32.3,-116.9,0.5,0.473649,0.026351
257,32.3,-116.80000000000001,0.5,0.457207,0.042793
258,32.3,-116.69999999999999,0.5,0.435079,0.064921
259,32.3,-116.6,0.5,0.4075,0.0925
260,32.3,-116.5,0.5,0.375018,0.124982
261,32.3,-116.4,0.5,0.338292,0.161708
262,32.3,-116.3,0.5,0.298096,0.201904
263,32.3,-116.2,0.5,0.255513,0.244487
264,32.3,-116.10000000000001,0.5,0.212094,0.287906
265,32.3,-116.00000000000001,0.5,0.169788,0.330212
266,32.3,-115.90000000000002,0.5,0.130658,0.369342
267,32.3,-115.8,0.5,0.096472,0.403528
268,32.3,-115.7,0.5,0.068326,0.431674
269,32.3,-115.59999999999998,0.5,0.046475,0.453525
270,32.3,-115.49999999999999,0.5,0.030424,0.469576
271,32.3,-115.39999999999999,0.5,0.019218,0.480782
272,32.3,-115.3,0.5,0.011747,0.488253
273,32.3,-115.2,0.5,0.006965,0.493035
274,32.3,-115.1,0.5,0.004013,0.495987
275,32.3,-115.0,0.5,0.00225,0.49775
276,32.3,-114.9,0.5,0.001228,0.498772
277,32.3,-114.80000000000001,0.5,6.53E-4,0.499347
278,32.3,-114.70000000000002,0.5,3.37E-4,0.499663
279,32.3,-114.6,0.5,1.69E-4,0.499831
280,32.3,-114.5,0.5,8.0E-5,0.49992
281,32.3,-114.4,0.5,3.4E-5,0.499966
282,32.3,-114.3,0.5,1.3E-5,0.499987
283,32.3,-114.2,0.5,1.0E-6,0.499999
284,32.3,-114.10000000000001,0.5,0.0,0.5
285,32.3,-114.00000000000001,0.5,0.0,0.5
286,32.3,-113.9,0.5,0.0,0.5
287,32.3,-113.8,0.5,0.0,0.5
288,32.3,-113.7,0.5,0.0,0.5
289,32.3,-113.6,0.5,0.0,0.5
290,32.4,-118.10000000000001,0.5,0.499001,9.99E-4
291,32.4,-118.00000000000001,0.5,0.499312,6.88E-4
292,32.4,-117.90000000000002,0.5,0.499542,4.58E-4
293,32.4,-117.8,0.5,0.499701,2.99E-4
294,32.4,-117.7,0.5,0.499793,2.07E-4
295,32.4,-117.6,0.5,0.499813,1.87E-4
296,32.4,-117.5,0.5,0.499722,2.78E-4
297,32.4,-117.4,0.5,0.499425,5.75E-4
298,32.4,-117.30000000000001,0.5,0.498717,0.001283
299,32.4,-117.20000000000002,0.5,0.497168,0.002832
300,32.4,-117.1,0.5,0.494045,0.005955
301,32.4,-117.0,0.5,0.488221,0.011779
302,32.4,-116.9,0.5,0.478348,0.021652
303,32.4,-116.80000000000001,0.5,0.463242,0.036758
304,32.4,-116.69999999999999,0.5,0.442293,0.057707
305,32.4,-116.6,0.5,0.415555,0.084445
306,32.4,-116.5,0.5,0.383425,0.116575
307,32.4,-116.4,0.5,0.346464,0.153536
308,32.4,-116.3,0.5,0.30542,0.19458
309,32.4,-116.2,0.5,0.261461,0.238539
310,32.4,-116.10000000000001,0.5,0.216359,0.283641
311,32.4,-116.00000000000001,0.5,0.172378,0.327622
312,32.4,-115.90000000000002,0.5,0.131882,0.368118
313,32.4,-115.8,0.5,0.09681,0.40319
314,32.4,-115.7,0.5,0.068255,0.431745
315,32.4,-115.59999999999998,0.5,0.046333,0.453667
316,32.4,-115.49999999999999,0.5,0.030377,0.469623
317,32.4,-115.39999999999999,0.5,0.019298,0.480702
318,32.4,-115.3,0.5,0.011917,0.488083
319,32.4,-115.2,0.5,0.00717,0.49283
320,32.4,-115.1,0.5,0.004211,0.495789
321,32.4,-115.0,0.5,0.002416,0.497584
322,32.4,-114.9,0.5,0.001356,0.498644
323,32.4,-114.80000000000001,0.5,7.43E-4,0.499257
324,32.4,-114.70000000000002,0.5,3.98E-4,0.499602
325,32.4,-114.6,0.5,2.08E-4,0.499792
326,32.4,-114.5,0.5,1.03E-4,0.499897
327,32.4,-114.4,0.5,4.7E-5,0.499953
328,32.4,-114.3,0.5,2.0E-5,0.49998
329,32.4,-114.2,0.5,3.0E-6,0.499997
330,32.4,-114.10000000000001,0.5,1.0E-6,0.499999
331,32.4,-114.00000000000001,0.5,0.0,0.5
332,32.4,-113.9,0.5,0.0,0.5
333,32.4,-113.8,0.5,0.0,0.5
334,32.4,-113.7,0.5,0.0,0.5
335,32.4,-113.6,0.5,0.0,0.5
336,32.5,-118.2,0.5,0.499474,5.26E-4
337,32.5,-118.10000000000001,0.5,0.499626,3.74E-4
338,32.5,-118.00000000000001,0.5,0.499742,2.58E-4
339,32.5,-117.90000000000002,0.5,0.499826,1.74E-4
340,32.5,-117.8,0.5,0.499885,1.15E-4
341,32.5,-117.7,0.5,0.499919,8.1E-5
342,32.5,-117.6,0.5,0.499921,7.9E-5
343,32.5,-117.5,0.5,0.499865,1.35E-4
344,32.5,-117.4,0.5,0.499672,3.28E-4
345,32.5,-117.30000000000001,0.5,0.499174,8.26E-4
346,32.5,-117.20000000000002,0.5,0.497985,0.002015
347,32.5,-117.1,0.5,0.495458,0.004542
348,32.5,-117.0,0.5,0.490589,0.009411
349,32.5,-116.9,0.5,0.482192,0.017808
350,32.5,-116.80000000000001,0.5,0.469194,0.030806
351,32.5,-116.69999999999999,0.5,0.450911,0.049089
352,32.5,-116.6,0.5,0.427072,0.072928
353,32.5,-116.5,0.5,0.397607,0.102393
354,32.5,-116.4,0.5,0.362615,0.137385
355,32.5,-116.3,0.5,0.3225,0.1775
356,32.5,-116.2,0.5,0.278283,0.221717
357,32.5,-116.10000000000001,0.5,0.231822,0.268178
358,32.5,-116.00000000000001,0.5,0.185693,0.314307
359,32.5,-115.90000000000002,0.5,0.142699,0.357301
360,32.5,-115.8,0.5,0.105191,0.394809
361,32.5,-115.7,0.5,0.074531,0.425469
362,32.5,-115.59999999999998,0.5,0.05093,0.44907
363,32.5,-115.49999999999999,0.5,0.033696,0.466304
364,32.5,-115.39999999999999,0.5,0.021667,0.478333
365,32.5,-115.3,0.5,0.013586,0.486414
366,32.5,-115.2,0.5,0.008328,0.491672
367,32.5,-115.1,0.5,0.004999,0.495001
368,32.5,-115.0,0.5,0.002942,0.497058
369,32.5,-114.9,0.5,0.001698,0.498302
370,32.5,-114.80000000000001,0.5,9.61E-4,0.499039
371,32.5,-114.70000000000002,0.5,5.33E-4,0.499467
372,32.5,-114.6,0.5,2.89E-4,0.499711
373,32.5,-114.5,0.5,1.51E-4,0.499849
374,32.5,-114.4,0.5,7.4E-5,0.499926
375,32.5,-114.3,0.5,3.0E-5,0.49997
376,32.5,-114.2,0.5,7.0E-6,0.499993
377,32.5,-114.10000000000001,0.5,2.0E-6,0.499998
378,32.5,-114.00000000000001,0.5,0.0,0.5
379,32.5,-113.9,0.5,0.0,0.5
380,32.5,-113.8,0.5,0.0,0.5
381,32.5,-113.7,0.5,0.0,0.5
382,32.5,-113.6,0.5,0.0,0.5
383,32.6,-118.2,0.5,0.499811,1.89E-4
384,32.6,-118.10000000000001,0.5,0.499866,1.34E-4
385,32.6,-118.00000000000001,0.5,0.499908,9.2E-5
386,32.6,-117.90000000000002,0.5,0.499938,6.2E-5
387,32.6,-117.8,0.5,0.499959,4.1E-5
388,32.6,-117.7,0.5,0.49997,3.0E-5
389,32.6,-117.6,0.5,0.499966,3.4E-5
390,32.6,-117.5,0.5,0.499927,7.3E-5
391,32.6,-117.4,0.5,0.499791,2.09E-4
392,32.6,-117.30000000000001,0.5,0.499414,5.86E-4
393,32.6,-117.20000000000002,0.5,0.498464,0.001536
394,32.6,-117.1,0.5,0.496414,0.003586
395,32.6,-117.0,0.5,0.492493,0.007507
396,32.6,-116.9,0.5,0.485857,0.014143
397,32.6,-116.80000000000001,0.5,0.475727,0.024273
398,32.6,-116.69999999999999,0.5,0.461437,0.038563
399,32.6,-116.6,0.5,0.442387,0.057613
400,32.6,-116.5,0.5,0.417945,0.082055
401,32.6,-116.4,0.5,0.387557,0.112443
402,32.6,-116.3,0.5,0.350979,0.149021
403,32.6,-116.2,0.5,0.308663,0.191337
404,32.6,-116.10000000000001,0.5,0.262116,0.237884
405,32.6,-116.00000000000001,0.5,0.213936,0.286064
406,32.6,-115.90000000000002,0.5,0.167362,0.332638
407,32.6,-115.8,0.5,0.12546,0.37454
408,32.6,-115.7,0.5,0.090322,0.409678
409,32.6,-115.59999999999998,0.5,0.062697,0.437303
410,32.6,-115.49999999999999,0.5,0.042153,0.457847
411,32.6,-115.39999999999999,0.5,0.027569,0.472431
412,32.6,-115.3,0.5,0.017608,0.482392
413,32.6,-115.2,0.5,0.011011,0.488989
414,32.6,-115.1,0.5,0.006756,0.493244
415,32.6,-115.0,0.5,0.004072,0.495928
416,32.6,-114.9,0.5,0.002412,0.497588
417,32.6,-114.80000000000001,0.5,0.001404,0.498596
418,32.6,-114.70000000000002,0.5,8.03E-4,0.499197
419,32.6,-114.6,0.5,4.5E-4,0.49955
420,32.6,-114.5,0.5,2.44E-4,0.499756
421,32.6,-114.4,0.5,1.12E-4,0.499888
422,32.6,-114.3,0.5,5.2E-5,0.499948
423,32.6,-114.2,0.5,1.4E-5,0.499986
424,32.6,-114.10000000000001,0.5,4.0E-6,0.499996
425,32.6,-114.00000000000001,0.5,0.0,0.5
426,32.6,-113.9,0.5,0.0,0.5
427,32.6,-113.8,0.5,0.0,0.5
428,32.6,-113.7,0.5,0.0,0.5
429,32.6,-113.6,0.5,0.0,0.5
430,32.7,-118.3,0.5,0.49991,9.0E-5
431,32.7,-118.2,0.5,0.499935,6.5E-5
432,32.7,-118.10000000000001,0.5,0.499954,4.6E-5
433,32.7,-118.00000000000001,0.5,0.499968,3.2E-5
434,32.7,-117.90000000000002,0.5,0.499979,2.1E-5
435,32.7,-117.8,0.5,0.499986,1.4E-5
436,32.7,-117.7,0.5,0.499989,1.1E-5
437,32.7,-117.6,0.5,0.499984,1.6E-5
438,32.7,-117.5,0.5,0.499954,4.6E-5
439,32.7,-117.4,0.5,0.499849,1.51E-4
440,32.7,-117.30000000000001,0.5,0.499552,4.48E-4
441,32.7,-117.20000000000002,0.5,0.498783,0.001217
442,32.7,-117.1,0.5,0.497161,0.002839
443,32.7,-117.0,0.5,0.494183,0.005817
444,32.7,-116.9,0.5,0.489342,0.010658
445,32.7,-116.80000000000001,0.5,0.482112,0.017888
446,32.7,-116.69999999999999,0.5,0.47188,0.02812
447,32.7,-116.6,0.5,0.457898,0.042102
448,32.7,-116.5,0.5,0.439243,0.060757
449,32.7,-116.4,0.5,0.414926,0.085074
450,32.7,-116.3,0.5,0.384092,0.115908
451,32.7,-116.2,0.5,0.34639,0.15361
452,32.7,-116.10000000000001,0.5,0.30246,0.19754
453,32.7,-116.00000000000001,0.5,0.254257,0.245743
454,32.7,-115.90000000000002,0.5,0.204925,0.295075
455,32.7,-115.8,0.5,0.158111,0.341889
456,32.7,-115.7,0.5,0.116938,0.383062
457,32.7,-115.59999999999998,0.5,0.083207,0.416793
458,32.7,-115.49999999999999,0.5,0.057234,0.442766
459,32.7,-115.39999999999999,0.5,0.038244,0.461756
460,32.7,-115.3,0.5,0.024934,0.475066
461,32.7,-115.2,0.5,0.015913,0.484087
462,32.7,-115.1,0.5,0.009965,0.490035
463,32.7,-115.0,0.5,0.006132,0.493868
464,32.7,-114.9,0.5,0.003712,0.496288
465,32.7,-114.80000000000001,0.5,0.00221,0.49779
466,32.7,-114.70000000000002,0.5,0.001295,0.498705
467,32.7,-114.6,0.5,7.44E-4,0.499256
468,32.7,-114.5,0.5,3.76E-4,0.499624
469,32.7,-114.4,0.5,1.92E-4,0.499808
470,32.7,-114.3,0.5,8.9E-5,0.499911
471,32.7,-114.2,0.5,2.8E-5,0.499972
472,32.7,-114.10000000000001,0.5,7.0E-6,0.499993
473,32.7,-114.00000000000001,0.5,0.0,0.5
474,32.7,-113.9,0.5,0.0,0.5
475,32.7,-113.8,0.5,0.0,0.5
476,32.7,-113.7,0.5,0.0,0.5
477,32.7,-113.6,0.5,0.0,0.5
478,32.8,-118.40000000000002,0.5,0.49996,4.0E-5
479,32.8,-118.3,0.5,0.49997,3.0E-5
480,32.8,-118.2,0.5,0.499979,2.1E-5
481,32.8,-118.10000000000001,0.5,0.499985,1.5E-5
482,32.8,-118.00000000000001,0.5,0.49999,1.0E-5
483,32.8,-117.90000000000002,0.5,0.499993,7.0E-6
484,32.8,-117.8,0.5,0.499996,4.0E-6
485,32.8,-117.7,0.5,0.499996,4.0E-6
486,32.8,-117.6,0.5,0.499991,9.0E-6
487,32.8,-117.5,0.5,0.499966,3.4E-5
488,32.8,-117.4,0.5,0.499882,1.18E-4
489,32.8,-117.30000000000001,0.5,0.499642,3.58E-4
490,32.8,-117.20000000000002,0.5,0.499032,9.68E-4
491,32.8,-117.1,0.5,0.497808,0.002192
492,32.8,-117.0,0.5,0.495677,0.004323
493,32.8,-116.9,0.5,0.492343,0.007657
494,32.8,-116.80000000000001,0.5,0.487424,0.012576
495,32.8,-116.69999999999999,0.5,0.48039,0.01961
496,32.8,-116.6,0.5,0.470532,0.029468
497,32.8,-116.5,0.5,0.456932,0.043068
498,32.8,-116.4,0.5,0.4385,0.0615
499,32.8,-116.3,0.5,0.414081,0.085919
500,32.8,-116.2,0.5,0.382717,0.117283
501,32.8,-116.10000000000001,0.5,0.344091,0.155909
502,32.8,-116.00000000000001,0.5,0.299034,0.200966
503,32.8,-115.90000000000002,0.5,0.249817,0.250183
504,32.8,-115.8,0.5,0.199825,0.300175
505,32.8,-115.7,0.5,0.150302,0.349698
506,32.8,-115.59999999999998,0.5,0.0947,0.4053
507,32.8,-115.49999999999999,0.5,0.051899,0.448101
508,32.8,-115.39999999999999,0.5,0.035061,0.464939
509,32.8,-115.3,0.5,0.030037,0.469963
510,32.8,-115.2,0.5,0.023233,0.476767
